rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,74,18.674,0.0030918321572244167,0.009961850941181183,0.20168113708496094,98.35000000000001,24.19,14.42,18.07
2,100,5,100,56,15.331,0.0010453123832121491,0.008561886847019196,0.12989895045757294,98.42,22.919999999999998,10.58,14.469999999999999
2,100,5,100,65,17.017,0.0025583573151379824,0.008824525400996208,0.19226929545402527,98.34,22.03,12.5,15.950000000000001
2,100,5,100,49,14.038,0.003894733963534236,0.009541287086904049,0.1662910431623459,98.41,18.6,7.6899999999999995,10.879999999999999
2,100,5,100,30,10.886,0.003782852552831173,0.009916686452925205,0.2617407739162445,98.44000000000001,22.220000000000002,9.62,13.420000000000002
2,100,5,100,73,18.433,0.00526470085605979,0.010383585467934608,0.20961438119411469,98.44000000000001,24.490000000000002,11.540000000000001,15.690000000000001
2,100,5,100,25,9.904,0.007666030898690224,0.012829156592488289,0.15036125481128693,98.33,24.240000000000002,15.379999999999999,18.82
2,100,5,100,76,18.824,0.0021407147869467735,0.01431260909885168,0.11861453205347061,98.41,27.87,16.35,20.61
2,100,5,100,128,28.39,0.0034318252000957727,0.0066881668753921986,0.17617809772491455,98.46000000000001,24.44,10.58,14.77
2,100,5,100,56,15.48,0.0016059755580499768,0.010677695274353027,0.10812675952911377,98.27,20.0,12.5,15.379999999999999
