n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,90,4.507,0.6473850011825562,0.6435868740081787,0.6333958506584167,60.099999999999994,3.19,62.160000000000004,6.08
5,100,63,2.852,0.6438451409339905,0.6395900249481201,0.6340535879135132,60.33,2.55,48.65,4.8500000000000005
5,100,115,4.958,0.6553903222084045,0.6478093266487122,0.6433367729187012,59.81999999999999,3.6799999999999997,72.97,7.01
5,100,65,3.91,0.645885169506073,0.6417222619056702,0.6231832504272461,62.07,3.2199999999999998,59.46,6.11
5,100,50,2.8,0.6479616165161133,0.6471704840660095,0.6301935911178589,63.970000000000006,3.6799999999999997,64.86,6.959999999999999
5,100,56,1.506,0.6475495100021362,0.6445307731628418,0.628984808921814,61.67,3.32,62.160000000000004,6.3100000000000005
5,100,28,0.975,0.6551098227500916,0.6492106318473816,0.6285887360572815,63.690000000000005,3.65,64.86,6.909999999999999
5,100,78,1.762,0.6384236812591553,0.6364821195602417,0.6221625208854675,63.63999999999999,2.64,45.95,4.99
5,100,117,2.427,0.6526410579681396,0.6568657159805298,0.6389665007591248,62.07,4.29,81.08,8.15
5,100,116,2.495,0.6401417851448059,0.6342793703079224,0.6280120015144348,63.3,3.04,54.05,5.76
