rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,94,4.989,0.01579640991985798,0.02647469937801361,0.22694365680217743,97.81,44.440000000000005,21.62,29.09
2,100,5,100,49,3.142,0.0018764924025163054,0.01332283765077591,0.22481012344360352,97.53,37.04,27.029999999999998,31.25
2,100,5,100,14,1.831,0.018437614664435387,0.0403665155172348,0.3501183092594147,97.03,27.779999999999998,27.029999999999998,27.400000000000002
2,100,5,100,42,2.945,0.005744459107518196,0.013253282755613327,0.2516986131668091,97.47,36.67,29.73,32.84
2,100,5,100,32,2.572,0.0022830322850495577,0.026903830468654633,0.19690997898578644,96.97,31.91,40.54,35.709999999999994
2,100,5,100,20,2.014,0.008807510137557983,0.025184854865074158,0.275766521692276,96.75,21.62,21.62,21.62
2,100,5,100,36,2.659,0.00029251177329570055,0.02124718576669693,0.4566887319087982,97.36,32.14,24.32,27.689999999999998
2,100,5,100,25,2.243,0.03396594151854515,0.02533937245607376,0.2360442727804184,97.53,37.93,29.73,33.33
2,100,5,100,87,4.572,0.0020714225247502327,0.02756505087018013,0.24362391233444214,97.81,46.43,35.14,40.0
2,100,5,100,58,3.455,0.000833209021948278,0.019581403583288193,0.25877752900123596,97.53,31.580000000000002,16.220000000000002,21.43
