3.94 min,loss,accuracy,val_loss,val_accuracy
0,0.07365516573190689,0.9874470829963684,0.06972604244947433,0.9868651628494263
1,0.06611039489507675,0.9875930547714233,0.06911162286996841,0.9868651628494263
2,0.06526017934083939,0.9875930547714233,0.0692371279001236,0.9868651628494263
3,0.0642835795879364,0.9875930547714233,0.07451945543289185,0.9867191910743713
4,0.06341185420751572,0.9875930547714233,0.07147347927093506,0.9868651628494263
5,0.06272117793560028,0.9875565767288208,0.06899015605449677,0.9868651628494263
6,0.06178019195795059,0.9875930547714233,0.06869982182979584,0.9868651628494263
7,0.06160006672143936,0.9875200986862183,0.0693017914891243,0.9868651628494263
8,0.061129797250032425,0.9875930547714233,0.06989551335573196,0.9868651628494263
9,0.059026073664426804,0.9875930547714233,0.06994283944368362,0.9868651628494263
10,0.05804476886987686,0.9875565767288208,0.07119625061750412,0.9865732789039612
11,0.057484790682792664,0.9875200986862183,0.07140710949897766,0.9868651628494263
12,0.055696818977594376,0.9874470829963684,0.0787525326013565,0.9864273071289062
13,0.05442580580711365,0.9878484606742859,0.07344909757375717,0.9864273071289062
14,0.052777163684368134,0.9876295328140259,0.07072101533412933,0.9867191910743713
15,0.05026054382324219,0.9880309700965881,0.08147972822189331,0.9864273071289062
16,0.047905534505844116,0.9881404042243958,0.07585932314395905,0.9856976270675659
17,0.04445990175008774,0.9883593916893005,0.08173837512731552,0.9836543798446655
18,0.04137649014592171,0.9891986846923828,0.0864231064915657,0.9865732789039612
19,0.03819207847118378,0.9889432191848755,0.08250722289085388,0.9852597713470459
20,0.03396712988615036,0.9903663992881775,0.08893510699272156,0.9858435392379761
21,0.030308833345770836,0.9907312989234924,0.09544139355421066,0.9851138591766357
22,0.02724921517074108,0.9912056922912598,0.11871035397052765,0.9801517724990845
23,0.023005319759249687,0.992263913154602,0.11366699635982513,0.9846760034561157
24,0.01806173473596573,0.9937235713005066,0.14791324734687805,0.9832165837287903
25,0.017908556386828423,0.9941614270210266,0.13502784073352814,0.9840922355651855
26,0.01447276957333088,0.9950007200241089,0.1596171259880066,0.9838003516197205
