0.022 min,loss,accuracy,val_loss,val_accuracy
0,0.6669678688049316,0.5683139562606812,0.6674684286117554,0.5988371968269348
1,0.61083984375,0.6627907156944275,0.6893237829208374,0.5755813717842102
2,0.5999717116355896,0.6700581312179565,0.6812314987182617,0.5813953280448914
3,0.5923166275024414,0.6715116500854492,0.7027180194854736,0.5406976938247681
4,0.5851106643676758,0.6918604373931885,0.7228742241859436,0.5813953280448914
5,0.5794446468353271,0.6904069781303406,0.7059106826782227,0.569767415523529
6,0.5834379196166992,0.6831395626068115,0.7145698070526123,0.5639534592628479
7,0.5801560878753662,0.7063953280448914,0.7020722031593323,0.5755813717842102
8,0.5761722922325134,0.6904069781303406,0.7131931185722351,0.5930232405662537
9,0.573204755783081,0.7034883499145508,0.7265706658363342,0.5523256063461304
10,0.5823842883110046,0.6744186282157898,0.7109749913215637,0.5930232405662537
11,0.5756186842918396,0.680232584476471,0.7220224142074585,0.5813953280448914
12,0.5760055184364319,0.6904069781303406,0.7115773558616638,0.5930232405662537
13,0.5737046599388123,0.7034883499145508,0.7171928882598877,0.5930232405662537
14,0.5755613446235657,0.6889534592628479,0.7133255004882812,0.5872092843055725
15,0.5769498348236084,0.6845930218696594,0.7018498182296753,0.5872092843055725
16,0.5678578615188599,0.7049418687820435,0.7205814719200134,0.569767415523529
17,0.5734701156616211,0.6976743936538696,0.7190828919410706,0.5639534592628479
18,0.5714840292930603,0.7034883499145508,0.7148711681365967,0.5581395626068115
19,0.575831949710846,0.694767415523529,0.7064804434776306,0.604651153087616
20,0.572324812412262,0.6991279125213623,0.7194609642028809,0.5755813717842102
