n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,28,1.524,0.6090596318244934,0.5218393802642822,0.5218393802642822,74.75,4.81,59.46,8.91
5,100,36,1.66,0.5957642793655396,0.5428506135940552,0.5428506135940552,73.00999999999999,3.56,45.95,6.6000000000000005
5,100,34,1.66,0.5929479598999023,0.4939107298851013,0.4939107298851013,77.33,4.6899999999999995,51.349999999999994,8.6
5,100,37,1.793,0.5917554497718811,0.5341258645057678,0.5341258645057678,74.52,3.9699999999999998,48.65,7.35
5,100,24,1.494,0.6053169965744019,0.5755108594894409,0.5755108594894409,71.04,3.1300000000000003,43.24,5.84
5,100,19,1.287,0.595557689666748,0.5364468693733215,0.5364468693733215,74.35000000000001,3.54,43.24,6.54
5,100,13,1.199,0.6089367866516113,0.5099942684173584,0.5099942684173584,77.72,4.55,48.65,8.309999999999999
5,100,30,1.653,0.5823897123336792,0.4525642693042755,0.4525642693042755,80.64,3.61,32.43,6.5
5,100,23,1.452,0.6049519777297974,0.5046786665916443,0.5046786665916443,75.81,4.19,48.65,7.71
5,100,18,1.427,0.6015757918357849,0.527968168258667,0.527968168258667,74.24,3.73,45.95,6.9
5,100,12,1.158,0.604888916015625,0.5353516936302185,0.5353516936302185,75.59,3.7199999999999998,43.24,6.8500000000000005
5,100,52,2.173,0.597452700138092,0.5182749629020691,0.5182749629020691,76.09,4.24,48.65,7.79
5,100,38,1.826,0.6042214035987854,0.5474341511726379,0.5474341511726379,72.5,3.6799999999999997,48.65,6.84
5,100,33,1.668,0.592914879322052,0.520169734954834,0.520169734954834,76.42999999999999,3.63,40.54,6.67
5,100,18,1.264,0.5830406546592712,0.5442212820053101,0.5442212820053101,73.79,3.26,40.54,6.04
5,100,7,0.979,0.6173996925354004,0.5428407192230225,0.5428407192230225,74.8,4.22,51.349999999999994,7.8
5,100,25,1.546,0.5890778303146362,0.5431542992591858,0.5431542992591858,74.97,3.84,45.95,7.08
5,100,33,1.682,0.6063364744186401,0.5232912302017212,0.5232912302017212,75.53,4.14,48.65,7.630000000000001
5,100,30,1.601,0.5978358387947083,0.49772214889526367,0.49772214889526367,77.16,4.88,54.05,8.95
5,100,13,1.132,0.6131147146224976,0.5413457751274109,0.5413457751274109,74.75,4.42,54.05,8.16
